sport,from,suggested_to,score
fifa_world,Brentford,,0.000
fifa_world,Chelsea,,0.000
fifa_world,New York City,,0.000
fifa_world,RB New York,,0.000
fifa_world,Tottenham,,0.000
fifa_world,Aston Villa,,0.000
fifa_world,San Jose,,0.000
fifa_world,LAFC,,0.000
fifa_world,Real,,0.000
fifa_world,Vancouver,,0.000
fifa_world,Portland,,0.000
fifa_world,Atlanta,,0.000
fifa_world,Manchester City,,0.000
fifa_world,Sunderland,,0.000
fifa_world,Bournemouth,,0.000
fifa_world,Liverpool,,0.000
fifa_world,Inter,,0.000
fifa_world,San Diego FC,,0.000
fifa_world,Seattle,,0.000
fifa_world,NJ/NY Gotham FC,,0.000
fifa_world,Chicago,,0.000
fifa_world,Charlotte,,0.000
fifa_world,Columbus,,0.000
fifa_world,Portland Timbers,,0.000
fifa_world,Atlanta United,,0.000
fifa_world,Chicago Stars,,0.000
fifa_world,Inter Miami CF,,0.000
